Symbol,Quantity_Day_1,Quantity_Day_2
ACC,23,32
ADANIPORTS,220,293
AMBUJACEM,204,276
ASIANPAINT,117,155
AUROPHARMA,65,88
AXISBANK,411,551
BAJAJ-AUTO,34,44
BANKBARODA,242,324
BHARTIARTL,365,472
BHEL,239,313
BOSCHLTD,2,3
BPCL,130,173
CIPLA,120,162
COALINDIA,304,405
DRREDDY,29,38
EICHERMOT,3,4
GAIL,117,156
GRASIM,81,108
HCLTECH,130,169
HDFC,409,546
HDFCBANK,514,688
HEROMOTOCO,32,42
HINDALCO,373,497
HINDUNILVR,175,235
ICICIBANK,1445,1952
IDEA,942,1181
INDUSINDBK,133,177
INFRATEL,109,140
INFY,440,584
ITC,2135,2822
KOTAKBANK,307,419
LT,208,275
LUPIN,56,75
M&M,116,155
MARUTI,34,46
NTPC,613,821
ONGC,678,893
POWERGRID,576,774
RELIANCE,378,515
SBIN,765,1028
SUNPHARMA,257,342
TATAMOTORS,517,681
TATAMTRDVR,134,178
TATAPOWER,452,601
TATASTEEL,190,252
TCS,119,157
TECHM,136,178
ULTRACEMCO,28,38
WIPRO,149,195
YESBANK,93,124
ZEEL,138,184
