Symbol,Day_0,Day_1,Day_2
ACC,1351.9,1343.55,1319.4
ADANIPORTS,273.8,273.95,274.9
AMBUJACEM,214.6,215.2,212.15
ASIANPAINT,904.65,896.6,906.6
AUROPHARMA,675.5,672.2,666.95
AXISBANK,447.75,455.25,453.1
BAJAJ-AUTO,2598.5,2619.2,2684.1
BANKBARODA,148.9,148.6,148.0
BHARTIARTL,311.0,304.45,313.9
BHEL,122.5,124.8,127.1
BOSCHLTD,21096.1,20798.6,20336.8
BPCL,640.5,650.55,655.45
CIPLA,566.0,573.65,568.25
COALINDIA,300.05,305.3,306.15
DRREDDY,3083.4,3072.4,3091.3
EICHERMOT,22523.95,22500.7,22196.5
GAIL,435.15,441.45,440.15
GRASIM,873.3,869.1,867.0
HCLTECH,828.5,835.15,856.95
HDFC,1217.1,1214.0,1212.1
HDFCBANK,1197.1,1189.9,1185.5
HEROMOTOCO,3030.55,2986.55,3004.9
HINDALCO,158.85,158.85,158.9
HINDUNILVR,825.35,829.85,821.6
ICICIBANK,251.95,254.4,251.1
IDEA,74.95,73.4,74.15
INDUSINDBK,1087.45,1100.6,1100.15
INFRATEL,344.2,341.5,352.35
INFY,1001.1,993.85,997.75
ITC,240.95,243.35,245.45
KOTAKBANK,714.8,711.75,695.6
LT,1359.6,1367.2,1376.6
LUPIN,1505.75,1505.5,1489.0
M&M,1229.8,1222.55,1221.95
MARUTI,5466.0,5508.4,5502.15
NTPC,164.8,165.45,164.85
ONGC,192.25,192.5,194.8
POWERGRID,183.65,188.05,186.75
RELIANCE,1085.1,1089.4,1067.15
SBIN,243.6,244.9,242.9
SUNPHARMA,634.05,636.1,637.35
TATAMOTORS,487.05,481.1,486.65
TATAMTRDVR,308.55,308.4,310.25
TATAPOWER,75.4,75.65,75.8
TATASTEEL,406.75,403.3,405.45
TCS,2361.35,2368.25,2379.5
TECHM,488.0,491.55,500.6
ULTRACEMCO,3371.35,3326.7,3301.4
WIPRO,471.55,467.0,475.6
YESBANK,1144.65,1162.9,1163.15
ZEEL,451.6,458.3,458.6
